Experiment,Paper ID#,Case,author,year,Biosolid level (Mg ha-1),Ne,Error in the article,Me,Se,Nc,Mc,Sc,year_restoration,time,Temp,Precip,Mixture (yes/no),Disturbance levels,Severe Disturbance,Burn (Y/N),Seeded (Y/N),Multiple application (Y/N),Biome,Location,Coordinates (Latitude),Coordinate (longitude),Level P (Mg ha-1),TOC (Mg ha-1),TN (Mg ha-1)
A,4,6,Gardner,2012,50,8,SE,178,85.41849917,8,8.8,1.753624817,2,3,2.3,44.8,No,high,Y,N,Y,N,Shrubland,"Kamloops, BC, Canada",50.47311,-121.0218,,15.1,2.05
A,4,7,Gardner,2012,100,8,SE,204.1,73.53910524,8,8.8,1.753624817,2,3,2.3,44.8,No,high,Y,N,Y,N,Shrubland,"Kamloops, BC, Canada",50.47311,-121.0218,,30.2,4.1
A,4,8,Gardner,2012,150,8,SE,189.8,132.3703894,8,8.8,1.753624817,2,3,2.3,44.8,No,high,Y,N,Y,N,Shrubland,"Kamloops, BC, Canada",50.47311,-121.0218,,45.3,6.15
A,4,9,Gardner,2012,200,8,SE,224.8,149.4,8,8.8,1.753624817,2,3,2.3,44.8,No,high,Y,N,Y,N,Shrubland,"Kamloops, BC, Canada",50.47311,-121.0218,,60.4,8.2
A,4,10,Gardner,2012,250,8,SE,226.9,129.5419623,8,8.8,1.753624817,2,3,2.3,44.8,No,high,Y,N,Y,N,Shrubland,"Kamloops, BC, Canada",50.47311,-121.0218,,75.5,10.25
A,4,11,Gardner,2012,50,8,SE,2.6,1.81019336,8,0,0,1,2,2.3,44.8,No,high,Y,N,Y,N,Shrubland,"Kamloops, BC, Canada",50.47311,-121.0218,,15.1,2.05
A,4,12,Gardner,2012,100,8,SE,2.9,2.404163056,8,0,0,1,2,2.3,44.8,No,high,Y,N,Y,N,Shrubland,"Kamloops, BC, Canada",50.47311,-121.0218,,30.2,4.1
A,4,13,Gardner,2012,150,8,SE,6.5,2.800142853,8,0,0,1,2,2.3,44.8,No,high,Y,N,Y,N,Shrubland,"Kamloops, BC, Canada",50.47311,-121.0218,,45.3,6.15
A,4,14,Gardner,2012,200,8,SE,7.1,0.424264069,8,0,0,1,2,2.3,44.8,No,high,Y,N,Y,N,Shrubland,"Kamloops, BC, Canada",50.47311,-121.0218,,60.4,8.2
A,4,15,Gardner,2012,250,8,SE,9.1,0.509116882,8,0,0,1,2,2.3,44.8,No,high,Y,N,Y,N,Shrubland,"Kamloops, BC, Canada",50.47311,-121.0218,,75.5,10.25
A,4,16,Gardner,2012,50,8,SE,10.8,10.74802307,8,0,0,2,3,2.3,44.8,No,high,Y,N,Y,N,Shrubland,"Kamloops, BC, Canada",50.47311,-121.0218,,15.1,2.05
A,4,17,Gardner,2012,100,8,SE,19.2,10.46518036,8,0,0,2,3,2.3,44.8,No,high,Y,N,Y,N,Shrubland,"Kamloops, BC, Canada",50.47311,-121.0218,,30.2,4.1
A,4,18,Gardner,2012,150,8,SE,34,16.97056275,8,0,0,2,3,2.3,44.8,No,high,Y,N,Y,N,Shrubland,"Kamloops, BC, Canada",50.47311,-121.0218,,45.3,6.15
A,4,19,Gardner,2012,200,8,SE,31,16.68772004,8,0,0,2,3,2.3,44.8,No,high,Y,N,Y,N,Shrubland,"Kamloops, BC, Canada",50.47311,-121.0218,,60.4,8.2
A,4,20,Gardner,2012,200,8,SE,45.3,12.44507935,8,0,0,2,3,2.3,44.8,No,high,Y,N,Y,N,Shrubland,"Kamloops, BC, Canada",50.47311,-121.0218,,60.4,8.2
L,126,1,Gazol,2016,50,4,Boxplot,269.1,77.94,4,116.87,47.98,2,3,10.7,95.3,No,low,N,N,N,N,Shrubland,"Napal, Spain",42.71667,-1.21667,,,
L,126,2,Gazol,2016,50,4,Boxplot,406.48,171.31,4,167.61,70.38,4,5,10.7,95.3,No,low,N,N,N,N,Shrubland,"Napal, Spain",42.71667,-1.21667,,,
